09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3104) S_DA_MBA_PROJECT_VERSION_NO_MATCH_WITH_TARGET      (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3105) S_DA_MBA_UPDATING_RESOURCE_NO_EXIST_IN_TARGET      (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3106) S_DA_MBA_UPDATING_RESOURCE_SIZE_EXCEED_IN_TARGET   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3107) S_DA_NAND_BIN_SIZE_EXCEED_MAX_SIZE                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3108) S_DA_NAND_EXCEED_CONTAINER_LIMIT                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3109) S_DA_NAND_REACH_END_OF_FLASH                       (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3110) S_DA_NAND_OTP_NOT_SUPPORT                          (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3111) S_DA_NAND_OTP_EXIST                                (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3112) S_DA_NAND_OTP_LOCKED                               (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3113) S_DA_NAND_OTP_LOCK_FAIL                            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3114) S_DA_NAND_OTP_UNLOCKED                             (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3115) S_DA_OTP_NOT_SUPPORT                               (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3116) S_DA_OTP_EXIST                                     (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3117) S_DA_OTP_LOCKED                                    (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3118) S_DA_OTP_GETSIZE_FAIL                              (brom.cpp:705)
